compte_id,montant,montant_moyen_compte,heure,type_transaction,canal,pays_transaction,pays_habituel_compte,nb_transactions_1h,fraude
133,33.4,44.17,15,virement,mobile,France,France,0,0
185,18.16,21.77,17,paiement_pos,mobile,Belgique,Allemagne,0,0
126,96.79,116.27,15,achat_en_ligne,web,Allemagne,Allemagne,0,0
195,70.62,34.58,20,achat_en_ligne,mobile,Italie,Italie,0,0
222,299.37,54.96,6,paiement_pos,atm,Allemagne,Allemagne,0,0
35,49.51,25.88,22,retrait_atm,mobile,Italie,Italie,0,0
5,9.96,12.12,0,achat_en_ligne,pos,Allemagne,Allemagne,0,0
299,117.64,62.82,14,virement,mobile,Belgique,Belgique,0,0
50,27.9,26.13,11,achat_en_ligne,atm,Espagne,Espagne,1,0
25,29.9,25.2,9,paiement_pos,web,Espagne,Espagne,1,0
148,139.29,36.82,20,virement,atm,Belgique,Belgique,0,0
229,40.24,29.28,2,virement,atm,Allemagne,Allemagne,0,0
152,22.38,40.32,23,retrait_atm,mobile,Belgique,Belgique,0,0
276,21.87,13.62,16,paiement_pos,web,Allemagne,Allemagne,1,0
3,53.11,30.11,3,virement,pos,Espagne,Espagne,0,0
217,23.85,30.72,13,retrait_atm,pos,France,France,0,0
291,25.27,22.36,23,retrait_atm,mobile,Italie,Italie,0,0
147,7.87,28.73,10,achat_en_ligne,atm,France,France,0,0
278,232.47,26.71,6,paiement_pos,web,Ukraine,Espagne,2,1
210,38.71,38.95,10,virement,mobile,Espagne,Espagne,1,0
165,74.75,94.29,7,virement,pos,Allemagne,Allemagne,0,0
161,56.07,46.97,23,achat_en_ligne,web,Italie,Italie,0,0
31,32.1,30.84,9,paiement_pos,mobile,Allemagne,Allemagne,0,0
289,40.5,24.04,1,virement,atm,Allemagne,Allemagne,1,0
186,23.85,18.03,1,retrait_atm,atm,Allemagne,Allemagne,0,0
176,29.64,51.96,2,virement,atm,Allemagne,Allemagne,1,0
96,5.57,13.73,23,achat_en_ligne,mobile,France,Belgique,0,0
74,12.3,38.3,21,virement,mobile,France,France,0,0
34,7.65,37.77,11,virement,mobile,Allemagne,Allemagne,0,0
34,25.87,37.77,15,achat_en_ligne,mobile,Allemagne,Allemagne,0,0
79,75.13,149.98,14,paiement_pos,web,Allemagne,Allemagne,0,0
96,9.38,13.73,6,achat_en_ligne,web,Belgique,Belgique,0,0
